Equation,Dataset,Scale,Config_ID,Time_Mean_RMSE,Final_Step_RMSE,Time_Callable,RMSE
Perturbation,Cuitzeo,2,nvec_20_cpu_upwind_False,,,0.0815447720233351,6.762886180013788e-05
Perturbation,Cuitzeo,2,nvec_20_cuda_upwind_True,,,0.12768115900689736,6.762886180012575e-05
Perturbation,Cuitzeo,2,nvec_20_cuda_upwind_False,,,0.12382107804296538,6.762886180012575e-05
Perturbation,Cuitzeo,3,nvec_20_cpu_upwind_True,,,0.2609206819906831,3.407338913377691e-05
Perturbation,Cuitzeo,3,nvec_20_cpu_upwind_False,,,0.260254647990223,3.407338913377691e-05
Perturbation,Cuitzeo,3,nvec_20_cuda_upwind_True,,,0.30365319800330326,3.407338913377714e-05
Perturbation,Cuitzeo,3,nvec_20_cuda_upwind_False,,,0.30642583896405995,3.407338913377714e-05
Perturbation,Catemaco,1,nvec_20_cpu_upwind_True,,,0.04520850797416642,0.00033489710700599496
Perturbation,Catemaco,1,nvec_20_cpu_upwind_False,,,0.046003800991456956,0.00033489710700599496
Perturbation,Catemaco,1,nvec_20_cuda_upwind_True,,,0.06174158403882757,0.0003348971070059937
Perturbation,Catemaco,1,nvec_20_cuda_upwind_False,,,0.04854601400438696,0.0003348971070059937
Perturbation,Catemaco,2,nvec_20_cpu_upwind_True,,,0.13891506096115336,6.179372860486956e-05
Perturbation,Catemaco,2,nvec_20_cpu_upwind_False,,,0.14419751497916877,6.179372860486956e-05
Perturbation,Catemaco,2,nvec_20_cuda_upwind_True,,,0.19294262997573242,6.179372860486459e-05
Perturbation,Catemaco,2,nvec_20_cuda_upwind_False,,,0.18212447600672022,6.179372860486459e-05
Perturbation,Catemaco,3,nvec_20_cpu_upwind_True,,,0.3321230380097404,7.551894627529573e-05
Perturbation,Catemaco,3,nvec_20_cpu_upwind_False,,,0.3321342979907058,7.551894627529573e-05
Perturbation,Catemaco,3,nvec_20_cuda_upwind_True,,,0.5182479349896312,7.551894627529054e-05
Perturbation,Catemaco,3,nvec_20_cuda_upwind_False,,,0.5153779690153897,7.551894627529054e-05
Perturbation,Caspio,1,nvec_20_cpu_upwind_True,,,0.013733903993852437,0.0007251931203396567
Perturbation,Caspio,1,nvec_20_cpu_upwind_False,,,0.043786064023151994,0.0007251931203396567
Perturbation,Caspio,1,nvec_20_cuda_upwind_True,,,0.028661174001172185,0.0007251931203396507
Perturbation,Caspio,1,nvec_20_cuda_upwind_False,,,0.02744955400703475,0.0007251931203396507
Perturbation,Caspio,2,nvec_20_cpu_upwind_True,,,0.07928151899250224,0.0002715506901195978
Perturbation,Caspio,2,nvec_20_cpu_upwind_False,,,0.07606354402378201,0.0002715506901195978
Perturbation,Caspio,2,nvec_20_cuda_upwind_True,,,0.09798106702510267,0.0002715506901195708
Perturbation,Caspio,2,nvec_20_cuda_upwind_False,,,0.08918983500916511,0.0002715506901195708
Perturbation,Caspio,3,nvec_20_cpu_upwind_True,,,0.16189661802491173,0.0002856511763292371
Perturbation,Caspio,3,nvec_20_cpu_upwind_False,,,0.16205678699770942,0.0002856511763292371
